"","time","cases_med","cases_lo","cases_hi","date"
"1",1,1,1,1,2020-03-05
"2",2,1,1,1.9,2020-03-06
"3",3,2,1,3.775,2020-03-07
"4",4,1.5,1,3,2020-03-08
"5",5,6.5,4.225,10.775,2020-03-09
"6",6,4,2,7,2020-03-10
"7",7,10,8,17.65,2020-03-11
"8",8,11.5,6,15.775,2020-03-12
"9",9,17.5,13,23.775,2020-03-13
"10",10,13.5,9.45,18.55,2020-03-14
"11",11,20,8.45,27.55,2020-03-15
"12",12,16,6.9,37.075,2020-03-16
"13",13,26,13.225,45.425,2020-03-17
"14",14,28,8.575,49.65,2020-03-18
"15",15,31.5,15.225,64.55,2020-03-19
"16",16,39,20,69.4,2020-03-20
"17",17,45,12.9,84.825,2020-03-21
"18",18,55,23.45,109.725,2020-03-22
"19",19,63,25.675,132.025,2020-03-23
"20",20,70.5,24.45,139.75,2020-03-24
"21",21,86,37.575,178.65,2020-03-25
"22",22,96.5,41.375,207.1,2020-03-26
